name_fa,name_en,gender
نیلوفر,nilofr,female
نیما,nima,male
نیوشا=شنونده,niosha shnondeh,female
نیکسا,niksa,female
نیکو,nikoo,female
نیکی,niki,female
هامون,hamon,male
هاویر,haoir,female
هرمز,hrmz,male
هستی,hsti,female
هما,hma,female
هنگامه,hngameh,female
هوتن,hotn,male
هودین,hodin,male
هورداد,hordad,male
هورمزد,hormzd,male
هوشنگ,hoshng,male
هوشیار,hoshiar,male
هومان,homan,male
هومن,homn,male
هِنارَس,henaras,male
هیربد,hirbd,male
هیرمان,hirman,male
هیلناز,hilnaz,female
وارش,varsh,male
وشمگیر,vshmgir,male
ونداد,vndad,male
وندیداد,vndidad,male
وهومن (باستانی‌بهمن),vhomn bastani bhmn,male
وِنو,venoo,female
ویدا,vida,female
ویس,vis,female
ویَشار,viashar,male
پائیزه,paiizeh,female
پادینا,padina,female
پارمیدا,parmida,female
پارمیس,parmis,female
پدیده,pdideh,female
پرتو,prtoo,female
پردیس,prdis,female
پرستو,prstoo,female
پرند,prnd,female
پرنیا,prnia,female
پرنیان,prnian,female
پروانه,proaneh,female
پروین,proin,female
پری,pri,female
پریا,pria,female
پریدخت,pridkht,female
پریرو,priroo,female
پریزاد,prizad,female
پریسا,prisa,female
پریشاد,prishad,female
پریماه,primaeh,female
پریناز,prinaz,female
پریوش,priosh,female
پریچهر,prichhr,female
پوران,poran,female
پوراندخت,porandkht,female
پوری,pori,female
پونه,poneh,female
پوپک,popk,female
پژهان,pzhhan,female
پگاه,pgaeh,female
پیمانه,pimaneh,female
چکامه,chkameh,female
ژاله,zhaleh,female
ژرفا,zhrfa,female
ژوبین,zhobin,male
ژوناس,zhonas,male
ژیار,zhiar,male
ژیان,zhian,male
ژیلا,zhila,female
ژینا,zhina,female
ژینر,zhinr,female
ژیهات,zhihat,male
ژیوار,zhioar,male
ژیوان,zhioan,male
کارن,karn,male
کاساندان,kasandan,female
کامبیز,kambiz,male
کامران,kamran,male
کامشاد,kamshad,male
کامیار,kamiar,male
کاوه,kaoeh,male
کاووس,kaoos,male
کتایون,ktaion,female
کرانه,kraneh,female
کمند,kmnd,female
کنارنگ,knarng,male
کورس,kors,male
کورش,korsh,male
کوشا,kosha,male
کیا,kia,male
کیارش,kiarsh,male
کیان,kian,male
کیانا,kiana,female
کیانوش,kianosh,male
کیاوش,kiaosh,male
کیجا,kija,female
کیخسرو,kikhsroo,male
کیقباد,kighbad,male
کیمیا,kimia,female
کیهانه,kihaneh,female
کیوان,kioan,male
کیوس,kios,male
کیومرث,kiomrs,male
کیکاووس,kikaoos,male
گردآفرید,grdafrid,female
گرشا,grsha,male
گرشاسب,grshasb,male
گرگین,grgin,male
گستهم,gsthm,male
گشتاسب,gshtasb,male
گلابتون,glabton,female
گلاره,glareh,female
گلاوژ,glaozh,female
گلبانو,glbanoo,female
گلبهار,glbhar,female
گلبیز,glbiz,female
گلتاج,gltaj,female
گلتن,gltn,female
گلرخ,glrkh,female
گلرو,glroo,female
گلشن,glshn,female
گلشید,glshid,female
گلشیفته,glshifteh,female
گلمیس,glmis,female
گلنار,glnar,female
گلناز,glnaz,female
گلنوش,glnosh,female
گلپا,glpa,female
گلپری,glpri,female
گلپونه,glponeh,female
گلی,gli,female
گلینوش,glinosh,male
گل‌افروز,gl afroz,female
گل‌اندام,gl andam,female
گل‌ورچین,gl orchin,female
گودرز,godrz,male
گوهر,gohr,female
گوهرشاد,gohrshad,female
گَرسیوَز,garsioaz,male
گیتا,gita,female
گیتی,giti,female
گیسو,gisoo,female
